2020-10-06 01:05:36 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:05:36 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : hello

2020-10-06 01:05:36 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:05:36 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:05:36 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : society

2020-10-06 01:05:36 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:05:36 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:05:36 INFO  ConversationExporter:79 - Exporting conversation with options: None
2020-10-06 01:05:36 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:05:36 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:05:36 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : bob

2020-10-06 01:05:36 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:05:36 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:05:36 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : mike

2020-10-06 01:05:36 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:05:36 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:05:36 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : angus

2020-10-06 01:05:36 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:05:36 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:07:40 INFO  ConversationExporter:79 - Exporting conversation with options: None
2020-10-06 01:07:40 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:07:40 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:07:40 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : pie

2020-10-06 01:07:40 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:07:40 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:07:40 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : hello

2020-10-06 01:07:40 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:07:40 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:07:40 INFO  ConversationExporter:79 - Exporting conversation with options: Word filter : society

2020-10-06 01:07:40 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:07:40 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:07:40 INFO  ConversationExporter:79 - Exporting conversation with options: None
2020-10-06 01:07:40 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:07:40 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
2020-10-06 01:07:40 INFO  ConversationExporter:79 - Exporting conversation with options: User filter : bob

2020-10-06 01:07:40 INFO  ConversationExporter:148 - Reading conversation from chat.txt
2020-10-06 01:07:40 INFO  ConversationExporter:84 - Conversation exported from 'chat.txt' to 'chat.json
